Archetype,CommName,SciName,SpeciesCat,SpeciesCatName,Year,Catch,Price,region_name,IdOrig
Hard bottom,Caesio (Dalagang-bukid),Caesionidae,33,Misc. coastal fishes,2014.0,1346.6599999999999,1444.2875864483735,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Caesio (Dalagang-bukid)
Soft bottom,Goatfish (Saramulyete),Upeneus spp,33,Misc. coastal fishes,2002.0,337.0,870.6124752178615,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Goatfish (Saramulyete)
Soft bottom,Goatfish (Saramulyete),Upeneus spp,33,Misc. coastal fishes,2003.0,293.0,702.434052234623,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Goatfish (Saramulyete)
Soft bottom,Goatfish (Saramulyete),Upeneus spp,33,Misc. coastal fishes,2004.0,321.32,634.1710093942822,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Goatfish (Saramulyete)
Soft bottom,Goatfish (Saramulyete),Upeneus spp,33,Misc. coastal fishes,2005.0,738.34,868.4350760847644,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Goatfish (Saramulyete)
Soft bottom,Goatfish (Saramulyete),Upeneus spp,33,Misc. coastal fishes,2006.0,885.85,879.4908764436913,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Goatfish (Saramulyete)
Soft bottom,Goatfish (Saramulyete),Upeneus spp,33,Misc. coastal fishes,2007.0,970.67,844.9433171166587,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Goatfish (Saramulyete)
Soft bottom,Goatfish (Saramulyete),Upeneus spp,33,Misc. coastal fishes,2008.0,967.26,1007.5120580560165,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Goatfish (Saramulyete)
Soft bottom,Goatfish (Saramulyete),Upeneus spp,33,Misc. coastal fishes,2009.0,1088.51,1022.7701227337275,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Goatfish (Saramulyete)
Soft bottom,Goatfish (Saramulyete),Upeneus spp,33,Misc. coastal fishes,2010.0,1206.11,1117.8360795450346,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Goatfish (Saramulyete)
Soft bottom,Goatfish (Saramulyete),Upeneus spp,33,Misc. coastal fishes,2011.0,954.27,1163.061713540409,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Goatfish (Saramulyete)
Soft bottom,Goatfish (Saramulyete),Upeneus spp,33,Misc. coastal fishes,2012.0,866.94,1062.0877058190576,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Goatfish (Saramulyete)
Soft bottom,Goatfish (Saramulyete),Upeneus spp,33,Misc. coastal fishes,2013.0,956.8100000000001,1076.1559343223712,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Goatfish (Saramulyete)
Soft bottom,Goatfish (Saramulyete),Upeneus spp,33,Misc. coastal fishes,2014.0,898.26,1039.1528209383487,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)_Goatfish (Saramulyete)
